@relation seeds_seeds-weka.filters.unsupervised.attribute.Remove-R8_ICA-weka.filters.unsupervised.attribute.IndependentComponents-W-A7-N1000-T1.0E-4

@attribute Area numeric
@attribute Perimeter numeric
@attribute Compactness numeric
@attribute Length numeric
@attribute Width numeric
@attribute 'Asymmetry Coefficient' numeric
@attribute 'Length of Kernel Groove' numeric
@attribute Class {Kama,Rosa,Canadian}
@attribute Source_0 numeric
@attribute Source_1 numeric
@attribute Source_2 numeric
@attribute Source_3 numeric
@attribute Source_4 numeric
@attribute Source_5 numeric
@attribute Source_6 numeric

@data
11.81,13.45,0.8198,5.413,2.716,4.898,5.352,Canadian,-0.028548,-0.081508,0.089494,0.020462,0.047665,-0.035304,-0.063656
10.91,12.8,0.8372,5.088,2.675,4.179,4.956,Canadian,-0.009062,-0.134209,0.044738,0.01943,0.03143,-0.022771,0.08159
11.23,12.82,0.8594,5.089,2.821,7.524,4.957,Canadian,-0.068861,-0.075473,-0.115008,0.035307,0.13796,0.029451,0.012393
10.59,12.41,0.8648,4.899,2.787,4.975,4.794,Canadian,-0.010134,-0.123196,-0.107658,-0.008858,0.049836,-0.065559,0.10169
10.93,12.8,0.839,5.046,2.717,5.398,5.045,Canadian,0.008713,-0.094215,0.017013,0.056859,0.078586,-0.071532,0.052354
11.27,12.86,0.8563,5.091,2.804,3.985,5.001,Canadian,-0.029576,-0.099467,-0.039703,0.006326,-0.002927,-0.065343,0.054075
11.87,13.02,0.8795,5.132,2.953,3.597,5.132,Canadian,-0.074638,-0.062171,-0.136936,0.021369,-0.071141,-0.105098,0.016046
10.82,12.83,0.8256,5.18,2.63,4.853,5.089,Canadian,-0.001086,-0.161961,0.036039,-0.005364,0.055181,-0.029373,0.030047
12.11,13.27,0.8639,5.236,2.975,4.132,5.012,Canadian,-0.022239,-0.029081,-0.055591,-0.068566,0.0312,-0.069921,-0.002765
12.8,13.47,0.886,5.16,3.126,4.873,4.914,Canadian,-0.045302,0.04656,-0.076331,0.012166,0.057235,-0.027311,0.044618
12.79,13.53,0.8786,5.224,3.054,5.483,4.958,Canadian,-0.086716,0.027877,-0.05503,0.047444,0.064726,0.04277,0.03209
13.37,13.78,0.8849,5.32,3.128,4.67,5.091,Canadian,-0.09691,0.030912,-0.06917,0.049908,0.008424,0.026764,0.016462
12.62,13.67,0.8481,5.41,2.911,3.306,5.231,Canadian,-0.048655,-0.035207,0.047052,-0.005725,-0.022756,-0.034117,-0.023083
12.76,13.38,0.8964,5.073,3.155,2.828,4.83,Canadian,-0.039489,0.053037,-0.064425,0.007679,-0.029488,-0.07725,0.093825
12.38,13.44,0.8609,5.219,2.989,5.472,5.045,Canadian,-0.021699,0.01973,-0.013516,0.016654,0.093687,-0.04062,0.003248
12.67,13.32,0.8977,4.984,3.135,2.3,4.745,Canadian,-0.031884,0.059908,-0.022761,0.049593,-0.043364,-0.072913,0.148165
11.18,12.72,0.868,5.009,2.81,4.051,4.828,Canadian,-0.06224,-0.110192,-0.067025,0.021012,-0.007848,-0.002172,0.106536
12.7,13.41,0.8874,5.183,3.091,8.456,5,Canadian,-0.116957,0.043757,-0.164671,0.089698,0.159719,0.074632,-0.01029
12.37,13.47,0.8567,5.204,2.96,3.919,5.001,Canadian,-0.00512,0.015847,0.054573,0.015583,0.04465,-0.056007,0.041115
12.19,13.2,0.8783,5.137,2.981,3.631,4.87,Canadian,-0.067345,-0.033405,-0.057479,-0.000656,-0.012285,-0.003294,0.075754
11.23,12.88,0.8511,5.14,2.795,4.325,5.003,Canadian,-0.023158,-0.105071,-0.041307,-0.032246,0.023303,-0.058188,0.028763
13.2,13.66,0.8883,5.236,3.232,8.315,5.056,Canadian,-0.043893,0.101424,-0.161517,0.023637,0.19801,-0.01694,-0.046589
11.84,13.21,0.8521,5.175,2.836,3.598,5.044,Canadian,-0.03374,-0.057476,0.037178,0.039594,-0.006262,-0.039221,0.055121
12.3,13.34,0.8684,5.243,2.974,5.637,5.063,Canadian,-0.07327,-0.017886,-0.08073,0.01388,0.060355,-0.001076,-0.008506
